,0
0,39.506046
1,47.66824
2,69.23763
3,60.970516
4,27.380657
5,42.0954
6,24.45354
7,24.212278
8,31.4886
9,37.733433
10,59.75349
11,35.57792
12,43.893475
13,38.704674
14,52.999325
15,36.728886
16,53.799725
17,44.49241
18,36.5792
19,35.48306
20,43.852154
21,18.208815
22,54.06327
23,66.72011
24,31.004179
25,49.815586
26,60.440422
27,31.942581
28,25.509718
29,33.371876
30,32.21653
31,45.290882
32,72.21642
33,33.874645
34,56.598454
35,71.35576
36,30.681894
37,53.037792
38,36.594692
39,37.539093
40,62.882175
41,56.40165
42,62.13148
43,62.49321
44,39.592762
45,59.42265
46,46.070526
47,44.15321
48,40.6341
49,56.247356
50,39.45066
51,34.27755
52,55.605442
53,53.87388
54,35.038147
55,39.42423
56,42.6807
57,62.196903
58,46.52282
59,47.970333
60,57.41829
61,58.47723
62,52.439407
63,61.734943
64,56.900444
65,60.68057
66,69.23956
67,52.7083
68,45.962654
69,71.20307
70,42.508663
71,65.83129
72,34.11372
73,53.70556
74,50.873993
75,33.20599
76,53.761406
77,78.01496
78,42.42476
79,71.37726
80,69.061356
81,54.839134
82,55.088127
83,46.44888
84,68.10172
85,39.41917
86,33.79583
87,55.652073
88,28.200768
89,39.49422
90,42.84704
91,34.472572
92,50.53485
93,40.237717
94,37.015465
95,52.920536
96,38.12596
97,38.122963
98,59.20139
99,33.969193
