,0
0,40.100853
1,39.946537
2,40.53078
3,44.958874
4,43.621464
5,36.777603
6,46.88138
7,37.5788
8,43.72861
9,39.49434
10,54.792225
11,43.19541
12,35.12224
13,47.96274
14,41.124786
15,50.20848
16,40.01883
17,38.292313
18,49.40306
19,43.034443
20,44.354393
21,36.86625
22,42.497272
23,43.42118
24,35.68025
25,49.568172
26,36.55643
27,44.58229
28,45.114086
29,33.39364
30,46.05442
31,35.413902
32,37.27447
33,42.35892
34,42.06585
35,42.880444
36,39.902287
37,41.349106
38,39.446003
39,39.282955
40,44.553513
41,42.507862
42,36.455887
43,36.138523
44,52.828957
45,52.65413
46,37.944477
47,45.219917
48,44.63306
49,45.073963
50,39.933743
51,37.17842
52,45.636055
53,41.21329
54,43.66507
55,47.574905
56,31.628168
57,50.437428
58,42.888893
59,42.397537
60,47.9276
61,43.809402
62,46.53531
63,45.7338
64,40.984406
65,38.53562
66,39.89857
67,46.461243
68,45.81937
69,36.224194
70,45.80019
71,41.541042
