,0
0,41.400642860616756
1,38.0
2,68.45485813551191
3,57.55915312612697
4,35.0
5,42.0
6,32.0
7,35.31024250841965
8,37.0
9,37.63925939895965
10,60.525192156294366
11,37.0
12,37.0
13,37.497746184277645
14,52.0
15,40.0
16,56.633200091189174
17,48.33162533920169
18,37.0
19,42.377646503790245
20,51.0
21,31.339885350374757
22,48.0
23,58.33899209726075
24,37.36145761742329
25,56.0
26,59.0
27,38.0
28,37.659514994264995
29,38.0
30,34.0
31,43.0
32,61.0
33,36.526034914231815
34,51.534638442589376
35,61.0
36,36.38374277388007
37,45.63190476190475
38,43.0
39,36.605852360862585
40,60.0
41,58.0
42,63.0
43,56.48333067717057
44,41.4085398581837
45,57.0
46,45.451571992226306
47,52.0
48,43.49506991904481
49,57.0
50,45.0
51,37.0
52,57.0
53,50.0
54,41.44433274549169
55,38.58451571972901
56,37.58498472842136
57,55.67378850997219
58,54.0
59,46.0
60,58.0
61,55.0
62,53.0
63,54.62967331777898
64,59.0
65,58.0
66,60.49490287723831
67,58.0
68,44.0
69,58.33540948582631
70,42.0
71,60.313418393201
72,36.0
73,52.0
74,58.31808620305039
75,36.0
76,54.0
77,60.54779166633931
78,49.0
79,61.0
80,60.0
81,58.0
82,56.640416636711045
83,56.0
84,60.69692804393837
85,40.35415961869807
86,42.42215295815296
87,56.0
88,32.0
89,37.34686851272847
90,46.0
91,37.371009632025725
92,56.387908209463475
93,41.0
94,40.470769223263076
95,50.335084758916395
96,46.56593633793789
97,36.58090435181482
98,55.0
99,42.0
