,0
0,47.30566376811595
1,45.40869074074074
2,52.0
3,52.33007275839629
4,53.40134682630031
5,54.0
6,54.0
7,55.42627897693459
8,46.53108771051145
9,42.0
10,57.0
11,50.31
12,42.374989449112974
13,48.570912055189076
14,54.68906460324492
15,56.0
16,50.0
17,49.0
18,55.62995804195804
19,48.53348148148149
20,46.0
21,50.672379162849374
22,50.43867945439118
23,53.679204460384796
24,48.0
25,63.0
26,45.0
27,54.0
28,48.55833333333333
29,42.53203982128982
30,52.0
31,45.0
32,46.0
33,53.0
34,44.0
35,47.0
36,51.3272380952381
37,51.0
38,49.31511790977626
39,54.0
40,54.0
41,52.0
42,48.0
43,44.37402279626342
44,58.62275119496354
45,57.0
46,44.650166666666664
47,57.0
48,51.0
49,55.0
50,45.0
51,45.0
52,48.0
53,49.0
54,58.5752119215505
55,54.30458093332705
56,41.32547972385029
57,56.0
58,53.0
59,54.0
60,50.321752553579564
61,46.0
62,49.0
63,50.0
64,54.0
65,54.0
66,52.347844602844596
67,48.0
68,51.0
69,44.0
70,53.0
71,47.0
